codigo,descripcion,categoria,archivo_foto
2740,HOJA LIJA 2740  GRANO 80,Herramienta manual,2740.webp
2741,HOJA LIJA 2741  GRANO 100,Herramienta manual,2741.webp
2742,HOJA LIJA 2742  GRANO 120,Herramienta manual,2742.webp
2743,HOJA LIJA 2743 GRANO 150,Herramienta manual,2743.webp
2744,HOJA LIJA 2744 GRANO 180,Herramienta manual,2744.webp
2745,HOJA LIJA 2745  GRANO 220,Herramienta manual,2745.webp
2746,HOJA LIJA 2746  GRANO 240,Herramienta manual,2746.webp
2747,HOJA LIJA 2747 GRANO 280,Herramienta manual,2747.webp
2748,HOJA LIJA 2748  GRANO 320,Herramienta manual,2748.webp
2750,HOJA LIJA 2750 GRANO 400,Herramienta manual,2750.webp
2752,HOJA LIJA 2752 GRANO 600,Herramienta manual,2752.webp
2999,KIT DE DISCOS AUSTROMEX,Soldadura y abrasivos,2999.webp
L1973,LIJA FINA  P/FO. 1973,Soldadura y abrasivos,L1973.webp
L1971,LIJA GRUESA P/FO. 1971,Soldadura y abrasivos,L1971.webp
L1972,LIJA MEDIANA  P/FO. 1972,Soldadura y abrasivos,L1972.webp
102,"LIMA ROTATIVA 102 1/2""X 1""",Herramienta manual,102.webp
105,"LIMA ROTATIVA 105  1/4"" X 5/8""",Herramienta manual,105.webp
107,"LIMA ROTATIVA 107 1/2""X 1""",Herramienta manual,107.webp
120,"LIMA ROTATIVA 120 1/2""X 1""",Herramienta manual,120.webp
122,"LIMA ROTATIVA 122 1/2""X 1""",Herramienta manual,122.webp
124,"LIMA ROTATIVA 124 1/2""X1""1/8""",Herramienta manual,124.webp
125,"LIMA ROTATIVA 125 1/2""X 7/8""",Herramienta manual,125.webp
136,"LIMA ROTATIVA 136 1/2"" X 1 1/4""",Herramienta manual,136.webp
2462,LIQUIDO LIMPIADOR DE OXIDO 250 ML (2462),Pintura y químicos,2462.webp
2442,PASTA LIMPIADORA INOX POLISH 75 ML (2442),Acero (barra y placa),2442.webp
2444,PASTA P/PULIR METALES 75 ML (2444),Pintura y químicos,2444.webp
