codigo,descripcion,categoria,archivo_foto
LGTP3.05,LAMINA GALVATEJA PLUS C 26 3.05 MT.,Lamina y cubiertas,LGTP3-05.webp
LGTP3.66,LAMINA GALVATEJA PLUS C 26 3.66 MT.,Lamina y cubiertas,LGTP3-66.webp
LGTP4.27,LAMINA GALVATEJA PLUS C 26 4.27 MT.,Lamina y cubiertas,LGTP4-27.webp
LGTP4.88,LAMINA GALVATEJA PLUS C 26 4.88 MT.,Lamina y cubiertas,LGTP4-88.webp
LGTP5.50,LAMINA GALVATEJA PLUS C 26 5.50 MT.,Lamina y cubiertas,LGTP5-50.webp
LGTP6.10,LAMINA GALVATEJA PLUS C 26 6.10 MT.,Lamina y cubiertas,LGTP6-10.webp
LNANT3C12,LAMINA NEGRA ANTID. 3X10 C12,Lamina y cubiertas,LNANT3C12.webp
LNANT3C14,LAMINA NEGRA ANTID. 3X10 C14,Lamina y cubiertas,LNANT3C14.webp
LNANT4-1/8,LAMINA NEGRA ANTID. 4X10 1/8,Lamina y cubiertas,LNANT4-1-8.webp
LNANT4C12,LAMINA NEGRA ANTID. 4X10 C12,Lamina y cubiertas,LNANT4C12.webp
LNANT4C14,LAMINA NEGRA ANTID. 4X10 C14,Lamina y cubiertas,LNANT4C14.webp
LNANT4C16,LAMINA NEGRA ANTID. 4X10 C16,Lamina y cubiertas,LNANT4C16.webp
LNL3C12,MT LAMINA NEGRA LISA 3 C12,Lamina y cubiertas,LNL3C12.webp
LNL3C14,MT LAMINA NEGRA LISA 3 C14,Lamina y cubiertas,LNL3C14.webp
LNL3C16,MT LAMINA NEGRA LISA 3 C16,Lamina y cubiertas,LNL3C16.webp
LNL3C18,MT LAMINA NEGRA LISA 3 C18,Lamina y cubiertas,LNL3C18.webp
LNL3C20,MT LAMINA NEGRA LISA 3 C20,Lamina y cubiertas,LNL3C20.webp
LNL3C22,MT LAMINA NEGRA LISA 3 C22,Lamina y cubiertas,LNL3C22.webp
LNL4C12,MT LAMINA NEGRA LISA 4 C12,Lamina y cubiertas,LNL4C12.webp
LNL4C14,MT LAMINA NEGRA LISA 4 C14,Lamina y cubiertas,LNL4C14.webp
LNL4C16,MT LAMINA NEGRA LISA 4 C16,Lamina y cubiertas,LNL4C16.webp
LNL4C18,MT LAMINA NEGRA LISA 4 C18,Lamina y cubiertas,LNL4C18.webp
LNL4C20,MT LAMINA NEGRA LISA 4 C20,Lamina y cubiertas,LNL4C20.webp
LGL3C14,MT. DE LAM. GALV LISA 3' C14,Lámina y cubiertas,LGL3C14.webp
LGL3C16,MT. DE LAM. GALV LISA 3´ C16,Lámina y cubiertas,LGL3C16.webp
LGL3C18,MT. DE LAM. GALV LISA 3´ C18,Lámina y cubiertas,LGL3C18.webp
LGL3C20,MT. DE LAM. GALV LISA 3´ C20,Lámina y cubiertas,LGL3C20.webp
LGL3C22,MT. DE LAM. GALV LISA 3´ C22,Lámina y cubiertas,LGL3C22.webp
LGL4C16,MT. DE LAM. GALV LISA 4´ C16,Lámina y cubiertas,LGL4C16.webp
LGL4C18,MT. DE LAM. GALV LISA 4´ C18,Lámina y cubiertas,LGL4C18.webp
LGL4C20,MT. DE LAM. GALV LISA 4´ C20,Lámina y cubiertas,LGL4C20.webp
LGL4C22,MT. DE LAM. GALV LISA 4´ C22,Lámina y cubiertas,LGL4C22.webp
ZH105,PASAMANOS TUBULAR C-20,Tubulares,ZH105.webp
ZV145,PERFIL MOSQUITERO,Perfiles estructurales,ZV145.webp
PLACA25,"PLACA 1""",Acero (barra y placa),PLACA25.webp
PLA13,"PLACA 1/2""",Acero (barra y placa),PLA13.webp
PLACA6,"PLACA 1/4""",Acero (barra y placa),PLACA6.webp
PLACA5,"PLACA 3/16""",Acero (barra y placa),PLACA5.webp
PLACA19,"PLACA 3/4""",Acero (barra y placa),PLACA19.webp
PLACA10,"PLACA 3/8""",Acero (barra y placa),PLACA10.webp
PLACA16,"PLACA 5/8""",Acero (barra y placa),PLACA16.webp
PTR100X100C1/4-6.10,"PTR 4"" X 4"" C 1/4 6.10M",Perfiles estructurales,PTR100X100C1-4-6-10.webp
PTRG25X50C14,"PTR DE 2"" X 1"" GALVANIZADO C-14",Perfiles estructurales,PTRG25X50C14.webp
ZR125,"RECTANGULAR  1 1/4"" X 3/4""",Perfiles estructurales,ZR125.webp
ZR175,"RECTANGULAR  1 3/4"" X 3/4""",Perfiles estructurales,ZR175.webp
ZR225,"RECTANGULAR  2 1/4"" X 3/4""",Perfiles estructurales,ZR225.webp
ZR100,"RECTANGULAR 1"" X 1/2""",Perfiles estructurales,ZR100.webp
ZR249,"RECTANGULAR 2 1/2"" X 1 1/4""",Perfiles estructurales,ZR249.webp
ZR200,"RECTANGULAR 2"" X 1"" C-20",Perfiles estructurales,ZR200.webp
ZR300,RECTANGULAR 3 X 1 1/2 C-20,Perfiles estructurales,ZR300.webp
ZR300C22,RECTANGULAR 3 X 1 1/2 C-22,Perfiles estructurales,ZR300C22.webp
ZR400,"RECTANGULAR 4 X 1 1/2""",Perfiles estructurales,ZR400.webp
ZP1400,RIEL DOBLE CHICO PARA PUERTA,Lámina y cubiertas,ZP1400.webp
ZP1500,RIEL DOBLE GRANDE PARA PORTON,Herrajes,ZP1500.webp
ZV124,RIEL SENCILLO PARA VENTANA,Lámina y cubiertas,ZV124.webp
ZT473X320,TABLERO 3 X 3 EN V C 20,Electrico e iluminacion,ZT473X320.webp
ZT473X322,TABLERO 3 X 3 EN V C 22,Electrico e iluminacion,ZT473X322.webp
ZT473X620,TABLERO 3 X 6  EN V C20,Electrico e iluminacion,ZT473X620.webp
ZT473X622,TABLERO 3 X 6 EN V C 22,Electrico e iluminacion,ZT473X622.webp
ZT473X820,TABLERO 3 X 8 EN V C 20,Electrico e iluminacion,ZT473X820.webp
ZT473X822,TABLERO 3 X 8 EN V C22,Electrico e iluminacion,ZT473X822.webp
ZT483X1020,TABLERO 3X10 EN CAJA GDE. C 20,Electrico e iluminacion,ZT483X1020.webp
ZT473X1020,TABLERO 3X10 EN V C 20,Electrico e iluminacion,ZT473X1020.webp
ZT473X1022,TABLERO 3X10 EN V C 22,Electrico e iluminacion,ZT473X1022.webp
ZT483X422,TABLERO 3X4 CAJA GDE. C22,Electrico e iluminacion,ZT483X422.webp
ZTA473X820,TABLERO ATRAV. 3 X 8 EN V C 20,Electrico e iluminacion,ZTA473X820.webp
ZTA473X822,TABLERO ATRAV. 3 X 8 EN V C 22,Electrico e iluminacion,ZTA473X822.webp
ZTA473X1020,TABLERO ATRAV. 3X10 EN V C 20,Electrico e iluminacion,ZTA473X1020.webp
ZTA473X1022,TABLERO ATRAV. 3X10 EN V C 22,Electrico e iluminacion,ZTA473X1022.webp
ZTA473X620,TABLERO ATRAVESADO DE 3 X 6 C20,Electrico e iluminacion,ZTA473X620.webp
ZTA473X622,TABLERO ATRAVESADO DE 3 X 6 C22,Electrico e iluminacion,ZTA473X622.webp
ZT483X322,TABLERO ZINTRO 3 X 3 EN CAJA GDE. C 22,Lamina y cubiertas,ZT483X322.webp
ZT483X820,TABLERO ZINTRO 3 X 8 EN CAJA GDE.C-20,Lamina y cubiertas,ZT483X820.webp
ZV127,TEE DOBLE,Tuberia y conexiones,ZV127.webp
ZV103,TEE TUBULAR,Tubulares,ZV103.webp
TCEC244,TIRA P/CORT. EUROPEA C24 4.05 M,POR CLASIFICAR,TCEC244.webp
TCEC245,TIRA P/CORT. EUROPEA C24 5.05 M,POR CLASIFICAR,TCEC245.webp
TCEC246,TIRA P/CORT. EUROPEA C24 6.00 M,POR CLASIFICAR,TCEC246.webp
ZV154C18,VAGUETA O CANALETA C-18,Perfiles estructurales,ZV154C18.webp
ZV154,VAGUETA O CANALETA C-20,Perfiles estructurales,ZV154.webp
ZP150,"ZOCLO CON CEJA 1 1/2"" X 1 1/2""",Herrajes,ZP150.webp
ZP300C18,"ZOCLO CON CEJA 1 1/2"" X 3"" CAL.18",Herrajes,ZP300C18.webp
ZP400C18,"ZOCLO CON CEJA 1 1/2"" X 4"" CAL. 18.",Herrajes,ZP400C18.webp
ZP200,"ZOCLO CON CEJA 2 X 1 1/2""",Herrajes,ZP200.webp
ZP250,"ZOCLO CON CEJA 21/2 X 1 1/2""",Herrajes,ZP250.webp
ZP300,"ZOCLO CON CEJA 3"" X 1 1/2""",Herrajes,ZP300.webp
ZP400,"ZOCLO CON CEJA 4"" X 1 1/2""",Herrajes,ZP400.webp
ZP015,"ZOCLO DOBLE CEJA 1 1/2"" X 1 1/2""",Herrajes,ZP015.webp
ZP020,"ZOCLO DOBLE CEJA 2"" X 1 1/2(ZP020)",Herrajes,ZP020.webp
ZP030,"ZOCLO DOBLE CEJA 3"" X 1 1/2""(ZP030)",Herrajes,ZP030.webp
RED12MM,REDONDO DE 12 MM,Macizos,RED12MM.webp
CATTUBD,CATALOGO TUBO DECORSTEEL,Tuberia y conexiones,CATTUBD.webp
CTM19,"CUADRADO TUB. MART.6MTS.3/4""C-18",Macizos,CTM19.webp
LMNC18-4X8,LOUVER MESH N94 A.NEGRO C18 4X8,Lámina y cubiertas,LMNC18-4X8.webp
SOLD410-2X3/16-6M,"SOLERA DECOR. 2"" X 3/16"" 6MT.(20410)",Perfiles estructurales,SOLD410-2X3-16-6M.webp
SOLD407,"SOLERA DECOR. 3/16"" X 1"" 1/2 3MT.(20407)",Perfiles estructurales,SOLD407.webp
SOLD4083M,"SOLERA DECOR. 3/16"" X 1"" 1/2 3MT.(20408)",Perfiles estructurales,SOLD4083M.webp
SOLD4056M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20405)",Perfiles estructurales,SOLD4056M.webp
SOLD4066M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20406)",Perfiles estructurales,SOLD4066M.webp
SOLD4076M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20407)",Perfiles estructurales,SOLD4076M.webp
SOLD4086M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20408)",Perfiles estructurales,SOLD4086M.webp
SOLD4106M,"SOLERA DECOR. 3/16"" X 1""1/2 6MT.(20410)",Perfiles estructurales,SOLD4106M.webp
TILOUVERN,TIRA LOUVER NEGRA C/COST.3.05 MTS. CAL. 18,Lámina y cubiertas,TILOUVERN.webp
TUBAEXCC75,TUBO BARROCO  EXT.CUA. C-18 (BARR-600) (10408),Tuberia y conexiones,TUBAEXCC75.webp
TUCO38,"TUBO COMBINADO 1"" 1/2 1 MT.",Tuberia y conexiones,TUCO38.webp
TUCO32,"TUBO COMBINADO 1"" 1/4 1 MT.",Tuberia y conexiones,TUCO32.webp
TUCO25,"TUBO COMBINADO 1"" 1MT",Tuberia y conexiones,TUCO25.webp
TUCO19,"TUBO COMBINADO 3/4"" DE 1 MTS.",Tuberia y conexiones,TUCO19.webp
TUELI38,"TUBO ELITE 1"" 1/2 C-16 1 MT 11555",Tuberia y conexiones,TUELI38.webp
TUELI38C16-11560,"TUBO ELITE 1"" 1/2 C-16 1 MT.(11560)",Tuberia y conexiones,TUELI38C16-11560.webp
TUIN16C18MI1,"TUBO INGLES  5/8"" 1MT C-18 (10610-INGLES 1)",Tuberia y conexiones,TUIN16C18MI1.webp
TUIN16C18MI2,"TUBO INGLES  5/8"" 1MT C-18 (10611-INGLES 2)",Tuberia y conexiones,TUIN16C18MI2.webp
TUMOEXCC75,TUBO MODUL. EXT.CUA. C-18(colonial-600) (10402),Tuberia y conexiones,TUMOEXCC75.webp
TUMOEXCC75-10401,TUBO MODUL. EXT.CUA. C-18(colonial-600)(10401),Tuberia y conexiones,TUMOEXCC75-10401.webp
TUMOEXCM75,TUBO MODUL. EXT.CUA. C-18(maya 600),Tuberia y conexiones,TUMOEXCM75.webp
TUMO38,"TUBO MODULADO O COLO. 1 1/2""",Tuberia y conexiones,TUMO38.webp
TUMO32,"TUBO MODULADO O COLO. 1 1/4""",Tuberia y conexiones,TUMO32.webp
TUMO25,"TUBO MODULADO O COLO. 1""",Tuberia y conexiones,TUMO25.webp
TUMO50,"TUBO MODULADO O COLO. 2""",Tuberia y conexiones,TUMO50.webp
TUMO19,"TUBO MODULADO O COLO. 3/4""",Tuberia y conexiones,TUMO19.webp
TUTRE38,"TUBO TRENZADO 1 1/2""",Tuberia y conexiones,TUTRE38.webp
TUTRE32,"TUBO TRENZADO 1 1/4""",Tuberia y conexiones,TUTRE32.webp
TUTRE25,"TUBO TRENZADO 1""",Tuberia y conexiones,TUTRE25.webp
TUTRE13,"TUBO TRENZADO 1/2""",Tuberia y conexiones,TUTRE13.webp
TUTRE50,"TUBO TRENZADO 2""",Tuberia y conexiones,TUTRE50.webp
TUTRE19,"TUBO TRENZADO 3/4""",Tuberia y conexiones,TUTRE19.webp
AT2610254M,ANTORCHA P/SOLD. TIG SR26V 4MTS. 10/25 ELITE,Soldadura,AT2610254M.webp
M1-122,ANTORCHA SPOOL GUN-4MTS. SWEISS TITAN 250A,Soldadura,M1-122.webp
CAR-510,CARETA ELECTRONICA ELITE VARIOMATIC 510,Seguridad (EPP),CAR-510.webp
CAR-441,CARETA ELECTRONICA MOD. 441 AGUILA,Seguridad (EPP),CAR-441.webp
CAR-530,CARETA ELECTRONICA MOD. 530 ELITE,Seguridad (EPP),CAR-530.webp
CAR-810R,CARETA ELECTRONICA SKIVIEW 810 DIG. SWEISS,Seguridad (EPP),CAR-810R.webp
G2-217,"CONECTOR RAPIDO HEMBRA 1/2"" G2-217 P/SWEISS",Soldadura (consumibles),G2-217.webp
G2-216,CONECTOR RAPIDO HEMBRA 3/8 G2-216 P/ELITE Y FURIUS,Soldadura (consumibles),G2-216.webp
G2-214,"CONECTOR RAPIDO MACHO 1/2"" G2-214P/SWEISS",Soldadura (consumibles),G2-214.webp
G2-213,CONECTOR RAPIDO MACHO 3/8 G2-213 P/ELITE Y FURIUS,Soldadura (consumibles),G2-213.webp
G2-210,CONECTOR RAPIDO MAQUINA G2-210 P/ELITE Y FURIUS,Soldadura (consumibles),G2-210.webp
CORPECUT40,CORTADOR DE PLASMA ELITECUT 40 110/220V,Herramienta eléctrica,CORPECUT40.webp
P2-518,DIFUSOR TITAN CUT X70 SWEISS(P2-518),Soldadura (consumibles),P2-518.webp
P2-517,ELECTRODO PLASMA  TITAN CUT X70 SWEISS(P2-517),Soldadura y abrasivos,P2-517.webp
ENERGY10000,GENERADOR A GAS. 10KW 110-220V ELITE (ENERGY10000),Herramienta electrica,ENERGY10000.webp
PASOLE200,PLANTA P/SOLD. ELITE  200 AMP. 110/220V(SI7200DV),Herramienta electrica,PASOLE200.webp
PASOLE220,PLANTA P/SOLD. ELITE  220 AMP. 110/220V,Herramienta electrica,PASOLE220.webp
PASOLE130,PLANTA P/SOLD. ELITE 130 AMP. 110 V.,Herramienta electrica,PASOLE130.webp
PASOLE160,PLANTA P/SOLD. ELITE ARC 160 110/220V,Herramienta electrica,PASOLE160.webp
PASOLS2650,PLANTA P/SOLD. SWEISS (SKYARC2650) 260A 110/220V,Herramienta electrica,PASOLS2650.webp
PASOLS153N,PLANTA P/SOLD. SWEISS 155A 110/220V,Herramienta electrica,PASOLS153N.webp
PASOLS172C,PLANTA P/SOLD. SWEISS 170A 110/220V,Herramienta electrica,PASOLS172C.webp
PLASOLE180,PLANTA P/SOLDAR ELITE 180 110/220V,Herramienta electrica,PLASOLE180.webp
P2-511,PUNTA 0.9MM-TITAN CUT X70 -SWEISS(P2-511),Forja artistica,P2-511.webp
P2-513,PUNTA 1.1 MM-TITAN CUT X70-SWEISS(P2-513),Forja artistica,P2-513.webp
P2-516,SEPARADOR TITAN CUT X70 SWEISS(P2-516),POR CLASIFICAR,P2-516.webp
P2-514,TOBERA TITAN CUT X70 SWEISS(P2-514),Soldadura (consumibles),P2-514.webp
WS235,ACEITE AFLOJATODO 235 ML SURTEK (WS235),Pintura y químicos,WS235.webp
WS400,ACEITE AFLOJATODO 400 ML SURTEK (WS400),Pintura y químicos,WS400.webp
U40B,ACEITE AFLOJATODO DIEL 235 ML (U40B),Pintura y químicos,U40B.webp
U40,ACEITE AFLOJATODO DIEL 400 ML (U40),Pintura y químicos,U40.webp
140982,ACEITE MULTIUSOS 100ML (140982) FOY,Pintura y químicos,140982.webp
151226,"ACOPLADOR PARA REMOLQUE 2"" SURTEK (151226)",Tubería y conexiones,151226.webp
108123,ACOPLADORES RAPIDOS 4 PZA. SURTEK (108123),Tubería y conexiones,108123.webp
PA1,AEROGRAFO PROF. POR GRAVEDAD SURTEK (PA1),Herramienta eléctrica,PA1.webp
AES420,AEROSOL 400 ML ROJO. SURTEK (AES420),Pintura y quimicos,AES420.webp
AES427,AEROSOL 400 ML VERDE ECOL. SURTEK (AES427),Pintura y quimicos,AES427.webp
AES425,AEROSOL 400 MLAZUL ORGANICO SURTEK (AES425),Pintura y quimicos,AES425.webp
AEM402,AEROSOL 400ML ALUMINIO (AEM402),Pintura y quimicos,AEM402.webp
AET301,AEROSOL ALTA TEM. NEGRO 300ML SURTEK (AET301),Pintura y quimicos,AET301.webp
AET302,AEROSOL ALTA TEMP. ALUMIN. 300ML SURTEK (AET302),Pintura y quimicos,AET302.webp
AET303,AEROSOL ALTA TEMP. BCO. 300ML SURTEK (AET303),Pintura y quimicos,AET303.webp
AES414,AEROSOL AMARILLO CATERPILLAR 400ML SURTEK (AES414),Pintura y quimicos,AES414.webp
AES313,AEROSOL AZUL CIELO 300ML SURTEK (AES313),Pintura y quimicos,AES313.webp
AES410,AEROSOL BARNIZ 400ML SURTEK (AES410),Pintura y quimicos,AES410.webp
AES411,AEROSOL BARNIZ MATE 400ML.SURTEK(AES411),Pintura y quimicos,AES411.webp
AES408,AEROSOL BLANCO BRILLANTE 400ML SURTEK (AES408),Pintura y quimicos,AES408.webp
AES415,AEROSOL CAFÉ OCRE 400ML SURTEK (AES415),Pintura y quimicos,AES415.webp
AEF401,AEROSOL FLOURES. AMARILLO SURTEK AEF401,Pintura y quimicos,AEF401.webp
AEF403,AEROSOL FLUORES. ROSA 400ML SURTEK (AEF403),Pintura y quimicos,AEF403.webp
AEF405,AEROSOL FLUORES. VERDE 400ML SURTEK (AEF405),Pintura y quimicos,AEF405.webp
AES406,AEROSOL GRIS ACERO 400ML SURTEK (AES406),Pintura y quimicos,AES406.webp
AES304,AEROSOL GRIS CLARO 300 ML SURTEK (AES304),Pintura y quimicos,AES304.webp
AES407,AEROSOL GRIS CLARO 400ML SURTEK (AES407),Pintura y quimicos,AES407.webp
AES404,AEROSOL GRIS MAQUINARIA 400ML SURTEK (AES404),Pintura y quimicos,AES404.webp
AEM407,AEROSOL MET. AZUL 400ML SURTEK (AEM407),Pintura y quimicos,AEM407.webp
AEM401,AEROSOL MET. NEGRO 400ML SURTEK (AEM401),Pintura y quimicos,AEM401.webp
AEM303,AEROSOL MET. ORO 300ML SURTEK (AEM303),Pintura y quimicos,AEM303.webp
AEM403,AEROSOL MET.CROMO 400ML SURTEK (AEM403),Pintura y quimicos,AEM403.webp
AEM404,AEROSOL MET.ORO 400ML SURTEK (AEM404),Pintura y quimicos,AEM404.webp
AEM406,AEROSOL MET.ROJO 400ML SURTEK (AEM406),Pintura y quimicos,AEM406.webp
AES401,AEROSOL NEGRO BRILLANTE 400ML SURTEK (AES401),Pintura y quimicos,AES401.webp
AES403,AEROSOL NEGRO MATE 400 ML SURTEK (AES403),Pintura y quimicos,AES403.webp
AES402,AEROSOL NEGRO SATINADO 400 ML SURTEK (AES402),Pintura y quimicos,AES402.webp
AES423,AEROSOL ZUL CIELO 400ML SURTEK (AES423),Pintura y quimicos,AES423.webp
AEM301,AERSOL MET. ALUMINIO 300 ML SURTEK (AEM301),"Herrería, forja y herrajes",AEM301.webp
137430,AMORTIGUADOR IMPACTO CUERDA (137430),POR CLASIFICAR,137430.webp
ARC17N,ARCO P/SEGUETA SURTEK (17N),Herramienta manual,ARC17N.webp
ARC17T,ARCO P/SEGUETA TUBULAR SURTEK (17T),Tubulares,ARC17T.webp
137442,ARNES PARA SUSPENSIÓN UNITALLA SURTEK (137442),Seguridad (EPP),137442.webp
137441,ARNES SEG D/ POSICION UNITALLA ( 137441 ),Seguridad (EPP),137441.webp
AS510A,ASPIRADORA 10 GAL 4HP 120V SURTEK (AS510A),Herramienta eléctrica,AS510A.webp
137079,BANCO P/MECAN. ACOLCH. 770 MM (137079),Herramienta manual,137079.webp
137620,BARBOQUEJO CON BARBILLA PVC SURTEK (137620),Lamina y cubiertas,137620.webp
BAF150,"BARRETA HEX. 1"" X 1,50 MTS SURTEK (BAF150)",Herramienta manual,BAF150.webp
151227,"BOLA PARA REMOLQUE 2X1X2-1/8""  SURTEK (151227)",POR CLASIFICAR,151227.webp
114200,BOLSA CINCHO PLASTICO 100 PZAS SURTEK 114200,POR CLASIFICAR,114200.webp
114204,BOLSA CINCHO PLASTICO 50 PZAS SURTEK 114204,POR CLASIFICAR,114204.webp
114208,BOLSA CINCHO PLASTICO 50 PZAS SURTEK 114208,POR CLASIFICAR,114208.webp
114210,BOLSA CINCHO PLASTICO 50 PZAS SURTEK 114210,POR CLASIFICAR,114210.webp
114214,BOLSA CINCHO PLASTICO BCO 25 PZAS SURTEK 114214,POR CLASIFICAR,114214.webp
114203,BOLSA CINCHO PLASTICO NGO 100 PZAS SURTEK 114203,POR CLASIFICAR,114203.webp
114215,BOLSA CINCHO PLASTICO NGO 25 PZAS SURTEK 114215,POR CLASIFICAR,114215.webp
114205,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114205,POR CLASIFICAR,114205.webp
114209,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114209,POR CLASIFICAR,114209.webp
114211,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114211,POR CLASIFICAR,114211.webp
114213,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114213,POR CLASIFICAR,114213.webp
BSR3/4,"BROCA COBALTO ALT.VEL.3/4"" SURTEK(BSR3/4)",Herramienta manual,BSR3-4.webp
BSR5/8,"BROCA COBALTO ALT.VEL.5/8"" SURTEK(BSR5/8)",Herramienta manual,BSR5-8.webp
BCO1/2,BROCA COBALTO U/IND. 1/2 URREA (BCO1/2),Herramienta manual,BCO1-2.webp
BCO1/4,BROCA COBALTO U/IND. 1/4 URREA (BCO1/4),Herramienta manual,BCO1-4.webp
BCO1/8,BROCA COBALTO U/IND. 1/8 URREA (BCO1/8),Herramienta manual,BCO1-8.webp
BCO3/16,BROCA COBALTO U/IND. 3/16 URREA (BCO3/16),Herramienta manual,BCO3-16.webp
BCO3/8,BROCA COBALTO U/IND. 3/8 URREA (BCO3/8),Herramienta manual,BCO3-8.webp
BCO5/16,BROCA COBALTO U/IND. 5/16 URREA (BCO5/16),Herramienta manual,BCO5-16.webp
BSR1,"BROCA COBALTO U/PROF. REDUC.1"" SURTEK (BSR1)",Herramienta manual,BSR1.webp
BROESC119374,"BROCA ESCALONADA 1/4"" A 1 3/8"" (119374)",Herramienta manual,BROESC119374.webp
BROESC119372,"BROCA ESCALONADA 1/4"" A 3/4"" (119372)",Herramienta manual,BROESC119372.webp
BROESC119370,"BROCA ESCALONADA 1/8"" A 1/2"" (119370)",Herramienta manual,BROESC119370.webp
BROESC119373,"BROCA ESCALONADA 3/16"" A 7/8"" (119373)",Herramienta manual,BROESC119373.webp
BRO119173,"BROCA P/CONCRETO 1"" X 12"" (119173)",Herramienta manual,BRO119173.webp
BRO119164,"BROCA P/CONCRETO 1/2"" X 12"" (119164)",Herramienta manual,BRO119164.webp
BRO119163,"BROCA P/CONCRETO 1/2"" X 6"" (119163)",Herramienta manual,BRO119163.webp
BRO119158,"BROCA P/CONCRETO 1/4"" X 12"" (119158)",Herramienta manual,BRO119158.webp
BRO119156,"BROCA P/CONCRETO 1/4"" X 4"" (119156)",Herramienta manual,BRO119156.webp
BRO119157,"BROCA P/CONCRETO 1/4"" X 6"" (119157)",Herramienta manual,BRO119157.webp
BRO119154,"BROCA P/CONCRETO 3/16"" X 6"" (119154)",Herramienta manual,BRO119154.webp
BRO119168,"BROCA P/CONCRETO 3/4"" X 12"" (119168)",Herramienta manual,BRO119168.webp
BRO119167,"BROCA P/CONCRETO 3/4"" X 6"" (119167)",Herramienta manual,BRO119167.webp
BRO119162,"BROCA P/CONCRETO 3/8"" X 12"" (119162)",Herramienta manual,BRO119162.webp
BRO119161,"BROCA P/CONCRETO 3/8"" X 6"" (119161)",Herramienta manual,BRO119161.webp
BRO119159,"BROCA P/CONCRETO 5/16"" X 4"" (119159)",Herramienta manual,BRO119159.webp
BRO119170,"BROCA P/CONCRETO 5/16"" X 6"" (119170)",Herramienta manual,BRO119170.webp
BRO119166,"BROCA P/CONCRETO 5/8"" X 12"" (119166)",Herramienta manual,BRO119166.webp
BRO119165,"BROCA P/CONCRETO 5/8"" X 6"" (119165)",Herramienta manual,BRO119165.webp
BRO119171,"BROCA P/CONCRETO 7/8"" X 6"" (119171)",Herramienta manual,BRO119171.webp
BSDS1/2X12,"BROCA P/CONCRETO SDS URREA 1/2"" X 12"" (BSDS1/2X12)",Herramienta manual,BSDS1-2X12.webp
BSDS1/2X6,"BROCA P/CONCRETO SDS URREA 1/2"" X 6"" (BSDS1/2X6)",Herramienta manual,BSDS1-2X6.webp
BSDS3/8X12,"BROCA P/CONCRETO SDS URREA 3/8"" X 12"" (BSDS3/8X12)",Herramienta manual,BSDS3-8X12.webp
BSDS3/8X6,"BROCA P/CONCRETO SDS URREA 3/8"" X 6"" (BSDS3/8X6)",Herramienta manual,BSDS3-8X6.webp
BSDS5/8X12,"BROCA P/CONCRETO SDS URREA 5/8"" X 12"" (BSDS5/8X12)",Herramienta manual,BSDS5-8X12.webp
BSDS5/8X6,"BROCA P/CONCRETO SDS URREA 5/8"" X 6"" (BSDS5/8X6)",Herramienta manual,BSDS5-8X6.webp
BCN3812,"BROCA P/CONCRETO URREA 3/8"" X 12"" (BCN3812)",Herramienta manual,BCN3812.webp
BCN386,"BROCA P/CONCRETO URREA 3/8"" X 6"" (BCN386)",Herramienta manual,BCN386.webp
BCN51612,"BROCA P/CONCRETO URREA 5/16"" X 12"" (BCN51612)",Herramienta manual,BCN51612.webp
BCN5166,"BROCA P/CONCRETO URREA 5/16"" X 6"" (BCN5166)",Herramienta manual,BCN5166.webp
BCN586,"BROCA P/CONCRETO URREA 5/8"" X 6"" (BCN586)",Herramienta manual,BCN586.webp
BROCON1X12,"BROCA PARA CONCRETO 1"" X 12"" (119221)SDS",Herramienta manual,BROCON1X12.webp
BROCON1/2X12,"BROCA PARA CONCRETO 1/2"" X 12"" (119214)SDS",Herramienta manual,BROCON1-2X12.webp
BROCON1/2X6,"BROCA PARA CONCRETO 1/2"" X 6""  (119213)SDS",Herramienta manual,BROCON1-2X6.webp
BROCON1/4X12,"BROCA PARA CONCRETO 1/4"" X 12"" (119206)SDS",Herramienta manual,BROCON1-4X12.webp
BROCON1/4X4,"BROCA PARA CONCRETO 1/4"" X 4""(119204)SDS",Herramienta manual,BROCON1-4X4.webp
BROCON1/4X6,"BROCA PARA CONCRETO 1/4"" X 6 ""(119205)SDS",Herramienta manual,BROCON1-4X6.webp
BROCON3/4X12,"BROCA PARA CONCRETO 3/4"" X 12"" (119219)SDS",Herramienta manual,BROCON3-4X12.webp
BROCON3/4X6,"BROCA PARA CONCRETO 3/4"" X 6"" (119218)SDS",Herramienta manual,BROCON3-4X6.webp
BROCON3/8X12,"BROCA PARA CONCRETO 3/8"" X 12"" (119211)SDS",Herramienta manual,BROCON3-8X12.webp
BROCON3/8X18,"BROCA PARA CONCRETO 3/8"" X 18"" (119212)SDS",Herramienta manual,BROCON3-8X18.webp
BROCON3/8X6,"BROCA PARA CONCRETO 3/8"" X 6""(119210)SDS",Herramienta manual,BROCON3-8X6.webp
