id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
1686,1686,HOJA LIJA 1686 P/PASTA GRANO 36,Herramienta manual,Herramienta manual,,1686.webp,
1687,1687,HOJA LIJA 1687 P/PASTA GRANO 50,Herramienta manual,Herramienta manual,,1687.webp,
1688,1688,HOJA LIJA 1688 P/PASTA G80,Herramienta manual,Herramienta manual,,1688.webp,
2740,2740,HOJA LIJA 2740  GRANO 80,Herramienta manual,Herramienta manual,,2740.webp,
2741,2741,HOJA LIJA 2741  GRANO 100,Herramienta manual,Herramienta manual,,2741.webp,
2742,2742,HOJA LIJA 2742  GRANO 120,Herramienta manual,Herramienta manual,,2742.webp,
2743,2743,HOJA LIJA 2743 GRANO 150,Herramienta manual,Herramienta manual,,2743.webp,
2744,2744,HOJA LIJA 2744 GRANO 180,Herramienta manual,Herramienta manual,,2744.webp,
2745,2745,HOJA LIJA 2745  GRANO 220,Herramienta manual,Herramienta manual,,2745.webp,
2746,2746,HOJA LIJA 2746  GRANO 240,Herramienta manual,Herramienta manual,,2746.webp,
2747,2747,HOJA LIJA 2747 GRANO 280,Herramienta manual,Herramienta manual,,2747.webp,
2748,2748,HOJA LIJA 2748  GRANO 320,Herramienta manual,Herramienta manual,,2748.webp,
2750,2750,HOJA LIJA 2750 GRANO 400,Herramienta manual,Herramienta manual,,2750.webp,
2752,2752,HOJA LIJA 2752 GRANO 600,Herramienta manual,Herramienta manual,,2752.webp,
2999,2999,KIT DE DISCOS AUSTROMEX,Soldadura y abrasivos,Abrasivos / Discos,,2999.webp,
L1973,L1973,LIJA FINA  P/FO. 1973,Soldadura y abrasivos,Abrasivos / Discos,,L1973.webp,
L1971,L1971,LIJA GRUESA P/FO. 1971,Soldadura y abrasivos,Abrasivos / Discos,,L1971.webp,
L1972,L1972,LIJA MEDIANA  P/FO. 1972,Soldadura y abrasivos,Abrasivos / Discos,,L1972.webp,
102,102,"LIMA ROTATIVA 102 1/2""X 1""",Herramienta manual,Herramienta manual,"102 1/2"" 1"" 1/2",102.webp,
105,105,"LIMA ROTATIVA 105  1/4"" X 5/8""",Herramienta manual,Herramienta manual,"105 1/4"" 5/8"" 1/4 5/8",105.webp,
107,107,"LIMA ROTATIVA 107 1/2""X 1""",Herramienta manual,Herramienta manual,"107 1/2"" 1"" 1/2",107.webp,
120,120,"LIMA ROTATIVA 120 1/2""X 1""",Herramienta manual,Herramienta manual,"120 1/2"" 1"" 1/2",120.webp,
122,122,"LIMA ROTATIVA 122 1/2""X 1""",Herramienta manual,Herramienta manual,"122 1/2"" 1"" 1/2",122.webp,
124,124,"LIMA ROTATIVA 124 1/2""X1""1/8""",Herramienta manual,Herramienta manual,"124 1/2"" 1"" 1/8"" 1/2 1/8",124.webp,
125,125,"LIMA ROTATIVA 125 1/2""X 7/8""",Herramienta manual,Herramienta manual,"125 1/2"" 7/8"" 1/2 7/8",125.webp,
136,136,"LIMA ROTATIVA 136 1/2"" X 1 1/4""",Herramienta manual,Herramienta manual,"136 1/2"" 1 1/4"" 1/2 1/4",136.webp,
2462,2462,LIQUIDO LIMPIADOR DE OXIDO 250 ML (2462),Pintura y químicos,POR CLASIFICAR,,2462.webp,
2442,2442,PASTA LIMPIADORA INOX POLISH 75 ML (2442),Acero (barra y placa),Acero (barra y placa),,2442.webp,
2444,2444,PASTA P/PULIR METALES 75 ML (2444),Pintura y químicos,POR CLASIFICAR,,2444.webp,
391,391,"PUNTA MONTADA 391 DE 3/4""x 2 1/2""  TIPO A-1",Soldadura y abrasivos,Abrasivos / Discos,"3/4"" 2 1/2"" 3/4 1/2",391.webp,
392,392,"PUNTA MONTADA 392  DE 1""X 2 3/4""  TIPO A-3",Soldadura y abrasivos,Abrasivos / Discos,"1"" 2 3/4"" 3/4",392.webp,
398,398,"PUNTA MONTADA 398  DE 1/4""X 1""  TIPO A-15",Soldadura y abrasivos,Abrasivos / Discos,"1/4"" 1"" 1/4",398.webp,
405,405,"PUNTA MONTADA 405  DE 1 1/2"" X3/8""  TIPO A-36",Soldadura y abrasivos,Abrasivos / Discos,"1 1/2"" 3/8"" 1/2 3/8",405.webp,
406,406,"PUNTA MONTADA 406  DE1 1/4""  X  1/4 TIPO A-37",Soldadura y abrasivos,Abrasivos / Discos,"1 1/4"" 1/4",406.webp,
902,902,"RUEDA FLAP 902 DE 1"" X  1/2"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"1"" 1/2"" 1/2",902.webp,
906,906,"RUEDA FLAP 906 DE 1"" X 1"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"1""",906.webp,
910,910,"RUEDA FLAP 910 DE 2"" X 1/2"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"2"" 1/2"" 1/2",910.webp,
919,919,"RUEDA FLAP 919 DE 2"" X 1"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"2"" 1""",919.webp,
923,923,"RUEDA FLAP 923 DE 3"" X 1/2"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"3"" 1/2"" 1/2",923.webp,
930,930,"RUEDA FLAP 930 DE 3"" X 1"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"3"" 1""",930.webp,
934,934,"RUEDA FLAP 934  DE 2"" X1 1/2"" GRANO 80",Soldadura y abrasivos,Abrasivos / Discos,"2"" 1 1/2"" 1/2",934.webp,
A6X38,A6X38,"ANGULO 1/4 X 1 1/2""",Macizos,Angulo,"1 1/2"" 4 X 1 1/4 1/2",A6X38.webp,
A6X32,A6X32,"ANGULO 1/4 X 1 1/4""",Macizos,Angulo,"1 1/4"" 4 X 1 1/4",A6X32.webp,
A6X50,A6X50,"ANGULO 1/4 X 2""",Macizos,Angulo,"2"" 4 X 2 1/4",A6X50.webp,
