cod,nom,archivo_crudo,archivo_destino,estado,detalle
,,"CLAVOS PCLAV.NEU. SURTEK 1"" (108502).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RODAJA ESFERICA CON PLACA 40 MM (RE4G).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JUEGO DE LLAVES ESTRI 45ª 6 PZAS (8100CM).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 7 X 2.44 CB CUAD. RECT..webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 12"" FOY (142650).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA K-LATH BROCA 8 X 12"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PINZA ANILLOS EXTERNOS 90º SURTEK (PFR6190).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TIJERA PARA HOJALATERO 14"" (T03).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CABEZA DE TORO CHICA(200MMX215MM).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 2"" X 2"" C-16.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"RONDANA DE PRESION GALV. 58"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA KOVAC 800 LIBRE DER..(CBR2).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RESBALON DOBLE BALA LATONADO (012652).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BROCA COBALTO UIND. 516 URREA (BCO516).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TUBO NEGRO C 30 1 14"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 5 X 1.98 CB CUAD. RECT..webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PCONCRETO URREA 38"" X 6"" (BCN386).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. CARBON PMINIES. BOSCHCRAFTSMAN CA-20-A.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 1""X 2"" C-14.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BROCA COBALTO UIND. 38 URREA (BCO38).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PEGAMENTO RESISTOL NO MAS CLAVOS 225G(038461).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MARRO OCTAGONAL 2 LB SURTEK (MARR2).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"
ARO DE CUADRADO DE 58 A 12 CM.
.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 4 X 91.5 REDONDA C.22.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GATO HIDRAULICO BOTELLA 2 T (GBS2).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MT.CADENA GALV. 18"" SURTEK  (150847).avif",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TORNILLO CCOCHE GALV. 14"" X 1 12"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 2"" FOY (142653).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TREBOL DE SOLERA.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PIEDRA PENCENDEDOR.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MT. DE LAM. GALV LISA 4´ C22.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER GATPER MILAN LATON ANTIG.(6744).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA GALV. 10 X 2"".png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJAS PSIERRA CALADOR BCO. 5 PZA.(SSK15).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CLAVOS PCLAV.NEU. SURTEK 2"" (108508).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO.CARBON PDESB.TRUPER.CA-0.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CARDA CIRCULAR SURTEK 14 X 1 12"" (123245).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLACA 58"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PASADOR DEXTER MAUSER 5"" NS (4061).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CERROJO DEXTER CILINDRO MARIPOSA LA (6634).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PCONCRETO URREA 516"" X 12"" (BCN51612).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CORTAPERNOS 24"" SURTEK (115142).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,FLOR ROMANA 2.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ESLINGA OJO 4""X 4M URREA (EP244).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"GRAPA 2 COSTILLAS 1"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PCONCRETO URREA 516"" X 6"" (BCN5166).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ECLIPSE GRANDE.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PCONCRETO SDS URREA 38"" X 6"" (BSDS38X6).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO PHILLIPS ANTIPAL. TETRA TX-9.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BANCO PMECAN. ACOLCH. 770 MM (137079).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RIEL O GUIA PCORTINA PLANA 6M C16.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"GANCHO PPANEL RANURADO 8"" (124134).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CARDA CIRCULAR OND. 3X 0.30MM 14 (C563).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,KG. DE LAM. GALV ROLL C24 4`.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PLATO CHICO.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PIJA MULT. 10X2 SURTEK (PM102) 100 PZA..jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SUJETADOR CMATRACA 2"" X 9 MTS. SURTEK (151130).avif",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"LIMA MEDIA CAÑA BASTARDA 10"" SURTEK (120303).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ESCALERA PLEGABLE TTAB.ACER. 2 PELDAÑO (ETT2).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA GALV. 10 X 1 12"".jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CARDA CIRCULAR OND. 4X 0.30MM 14 (C564).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CUÑA PRASPAR CON MANGO PLASTICO 5"" (142636).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ALA DE QUERUBIN DERECHA.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER ANTIPALANCA 70 MM (16934).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 12"" X 1 MTS.png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TIRA PCORT. PLANA C24 5.05 M.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BARRETA HEX. 1"" X 1,50 MTS SURTEK (BAF150).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PIJA MULT. 12X2 SURTEK (PM122) 100 PZ..jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. BROCAS NGA AC ALT VEL 13 PZ (5113).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MINI PISTOLA DE GRAVEDAD MODELO G-314 (014525).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PRENSA TIPO ""C"" DE 3""  (107053).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
