"﻿""proveedor""",codigo,descripcion,categoria
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",MARI,MARIPOSA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",NIDO,NIDO DE AVES,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PALCH,PALMA CHICA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PALG,PALMA GRANDE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PELDAÑOCG,PELDAÑO (CARACOL) GALVANIZADO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PELDAÑO,PELDAÑO (CARACOL) NEGRO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PELDAÑOE,PELDAÑO (ESCALON) NEGRO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PERVENT,PERICO PARA VENTANA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLA4,PLATO 5 5/8 HONDO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLA5,"PLATO 5 5/8"" EXTENDIDO","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLAB9,"PLATO BASE 6""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLAB12,"PLATO BASE PLANO 1"" 1/2","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLA1,PLATO CHICO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLA3,PLATO GRANDE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLA2,PLATO MEDIANO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PLA6,"PLATO NUM.6 DE 4"" 1/2","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",PVBASE,PORTA VELA CON BASE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",RETD,RETOÑO DERECHO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",RETI,RETOÑO IZQUIERDO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SOLCH,SOL CHICO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SOLG,SOL GRANDE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SOLMED,SOL MEDIANO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SOM,SOMBRERO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP6,SUPER PICO N0. 6,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP10,SUPER PICO N0.10,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP11,SUPER PICO N0.11,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP12,SUPER PICO N0.12,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP13,SUPER PICO N0.13,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP14,SUPER PICO N0.14,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP17,SUPER PICO N0.17,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP3,SUPER PICO N0.3,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP4,SUPER PICO N0.4,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP5,SUPER PICO N0.5,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP9,SUPER PICO N0.9,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SP7,SUPER PICOS N0.7,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SZAP25,"SUPER ZAPATO 1""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",SZAP32,"SUPER ZAPATO 1"" 1/4","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",TORO,TORO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",TUCAN,TUCAN,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",VIRGEN,VIRGEN,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",VIRGENMED,VIRGEN MEDIANA 75CM X 40CM,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,APCOGR,APARATO P/CORTINA 5 MTS. GRANDE DERECHO,"Alambre, malla y cercas"
GABRIEL REYES GOMEZ,APCOGRI,APARATO P/CORTINA 5 MTS. GRANDE IZQUIERDO,"Alambre, malla y cercas"
GABRIEL REYES GOMEZ,CABTCH,CABEZA DE TORO CHICA(200MMX215MM),"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,CATOGRA,CABEZA DE TORO GRANDE FO.CO.,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,VENADO,CABEZA DE VENADO (REYES) 28ALTX29.50 ANCH,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,CECOCH,CENEFA COLONIAL CHICA(440X260MM)REYES,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,ELEALUM,ELEVADOR PARA LONA ALUMINIO,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,ELEBRON,ELEVADOR PARA LONA BRONCE CHICO,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,ELBRONGRA,ELEVADOR PARA LONA BRONCE GRANDE,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,ESLALUMCEN,ESLABON ALUMINIO CENTRAL,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,ESLALUMIN,ESLABON ALUMINIO INICIAL,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,ESLALUMTER,ESLABON ALUMINIO TERMINAL,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,NUALCL13,"NUDO DE ALAMBRON P/CUAD. 1/2""","Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,NUALRED13,"NUDO DE ALAMBRON P/RED. 1/2""","Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,RESAN2X2.5CAL8,REJA SAN REHNO 2.00 MTS X 2.50 MTS VERDE C-6,"Alambre, malla y cercas"
GABRIEL REYES GOMEZ,RESAN2.5X2.5C6,REJA SAN REHNO 2.50 MTS X 2.50 MTS VERDE C-6,"Alambre, malla y cercas"
GABRIEL REYES GOMEZ,RE5/161.20D,"RESORTE P/CORTINA 5/16"" X 1.20MTS. DER.","Alambre, malla y cercas"
GABRIEL REYES GOMEZ,RE5/161.20I,"RESORTE P/CORTINA 5/16"" X 1.20MTS. IZQ.","Alambre, malla y cercas"
GABRIEL REYES GOMEZ,TOCAPCAB,TOCA PUERTA CABALLITO,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,TOCAPCAR,TOCA PUERTA CARPINTERO,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,TOCAPHER,TOCA PUERTA HERCULES,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,TOCAPLEON,TOCA PUERTA LEON,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,TOPUGR,TOCA PUERTAS GRANDE 28 CM X 28 CM,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,VENCHIDER,VENADO FO. CO. CHICO DER.,"Herrería, forja y herrajes"
GABRIEL REYES GOMEZ,VENCHIIZQ,VENADO FO.CO. CHICO IZQ.,"Herrería, forja y herrajes"
"GALVATUBING,S.A DE C.V",LGZR3.05E,GALVATUBING LAM.GALV. Z ALUM REC 3.05,Lámina y cubiertas
"GALVATUBING,S.A DE C.V",LGZR3.66E,GALVATUBING LAM.GALV. Z ALUM REC 3.66,Lámina y cubiertas
"GALVATUBING,S.A DE C.V",LGZR4.27E,GALVATUBING LAM.GALV. Z ALUM REC 4.27,Lámina y cubiertas
"GALVATUBING,S.A DE C.V",LGZR4.88E,GALVATUBING LAM.GALV. Z ALUM REC 4.88,Lámina y cubiertas
"INFRA, S.A DE C.V",MPCLARO,MICA DE POLICAR. CLARO P/SC400(8123),"Herrería, forja y herrajes"
"INFRA, S.A DE C.V",MPS12,MICA DE POLICAR. S-12 (8225),Seguridad (EPP)
