cod,nom,foto,medida_raw,medida_px,factor,lado_destino,estado,detalle
TORHEXGAL13X64,"TORNILLO HEX. GALV. 1/2"" X 2 1/2""",TORHEXGAL13X64.webp,"1/2"" 2 1/2"" 1/2",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL13X50,"TORNILLO HEX. GALV. 1/2"" X 2""",TORHEXGAL13X50.webp,"1/2"" 2"" 1/2",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL13X75,"TORNILLO HEX. GALV. 1/2"" X 3""",TORHEXGAL13X75.webp,"1/2"" 3"" 1/2",3.0,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
TORHEXGAL13X100,"TORNILLO HEX. GALV. 1/2"" X 4""",TORHEXGAL13X100.webp,"1/2"" 4"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
TORHEXGAL6X38,"TORNILLO HEX. GALV. 1/4"" X 1 1/2""",TORHEXGAL6X38.webp,"1/4"" 1 1/2"" 1/4 1/2",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TORHEXGAL6X25,"TORNILLO HEX. GALV. 1/4"" X 1""",TORHEXGAL6X25.webp,"1/4"" 1"" 1/4",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TORHEXGAL6X64,"TORNILLO HEX. GALV. 1/4"" X 2 1/2""",TORHEXGAL6X64.webp,"1/4"" 2 1/2"" 1/4 1/2",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL6X50,"TORNILLO HEX. GALV. 1/4"" X 2""",TORHEXGAL6X50.webp,"1/4"" 2"" 1/4",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL6X75,"TORNILLO HEX. GALV. 1/4"" X 3""",TORHEXGAL6X75.webp,"1/4"" 3"" 1/4",3.0,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
TORHEXGAL6X100,"TORNILLO HEX. GALV. 1/4"" X 4""",TORHEXGAL6X100.webp,"1/4"" 4"" 1/4",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
TORHEXGAL10X38,"TORNILLO HEX. GALV. 3/8"" X 1 1/2""",TORHEXGAL10X38.webp,"3/8"" 1 1/2"" 3/8 1/2",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TORHEXGAL10X25,"TORNILLO HEX. GALV. 3/8"" X 1""",TORHEXGAL10X25.webp,"3/8"" 1"" 3/8",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TORHEXGAL10X64,"TORNILLO HEX. GALV. 3/8"" X 2 1/2""",TORHEXGAL10X64.webp,"3/8"" 2 1/2"" 3/8 1/2",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL10X50,"TORNILLO HEX. GALV. 3/8"" X 2""",TORHEXGAL10X50.webp,"3/8"" 2"" 3/8",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL10X75,"TORNILLO HEX. GALV. 3/8"" X 3""",TORHEXGAL10X75.webp,"3/8"" 3"" 3/8",3.0,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
TORHEXGAL8X38,"TORNILLO HEX. GALV. 5/16"" X 1 1/2""",TORHEXGAL8X38.webp,"5/16"" 1 1/2"" 5/16 1/2",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TORHEXGAL8X25,"TORNILLO HEX. GALV. 5/16"" X 1""",TORHEXGAL8X25.webp,"5/16"" 1"" 5/16",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TORHEXGAL8X65,"TORNILLO HEX. GALV. 5/16"" X 2 1/2""",TORHEXGAL8X65.webp,"5/16"" 2 1/2"" 5/16 1/2",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL8X50,"TORNILLO HEX. GALV. 5/16"" X 2""",TORHEXGAL8X50.webp,"5/16"" 2"" 5/16",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TORHEXGAL8X75,"TORNILLO HEX. GALV. 5/16"" X 3""",TORHEXGAL8X75.webp,"5/16"" 3"" 5/16",3.0,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
TUHEXGALV25,"TUERCA HEXAGONAL GALV. 1""",TUHEXGALV25.webp,"1""",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
TUHEXGALV13,"TUERCA HEXAGONAL GALV. 1/2""",TUHEXGALV13.webp,"1/2"" 1/2",0.5,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TUHEXGAL6,"TUERCA HEXAGONAL GALV. 1/4""",TUHEXGAL6.webp,"1/4"" 1/4",0.25,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
TUHEXGAL5,"TUERCA HEXAGONAL GALV. 3/16""",TUHEXGAL5.webp,"3/16"" 3/16",0.1875,0.433,303,ok,Guardado con lado_destino=303px (factor=0.433)
TUHEXGAL19,"TUERCA HEXAGONAL GALV. 3/4""",TUHEXGAL19.webp,"3/4"" 3/4",0.75,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
TUHEXGAL10,"TUERCA HEXAGONAL GALV. 3/8""",TUHEXGAL10.webp,"3/8"" 3/8",0.375,0.6124,428,ok,Guardado con lado_destino=428px (factor=0.6124)
TUHEXGAL8,"TUERCA HEXAGONAL GALV. 5/16""",TUHEXGAL8.webp,"5/16"" 5/16",0.3125,0.559,391,ok,Guardado con lado_destino=391px (factor=0.559)
TUHEXGAL16,"TUERCA HEXAGONAL GALV. 5/8""",TUHEXGAL16.webp,"5/8"" 5/8",0.625,0.7906,553,ok,Guardado con lado_destino=553px (factor=0.7906)
VARO25,"VARILLA ROSCADA DE 1"" X 1 MTS.",VARO25.webp,"1"" 1 MTS",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VARO13,"VARILLA ROSCADA DE 1/2"" X 1 MTS.",VARO13.webp,"1/2"" 1 MTS 1/2",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VAROS6,"VARILLA ROSCADA DE 1/4"" X 1 MTS.",VAROS6.webp,"1/4"" 1 MTS 1/4",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VAROS5,"VARILLA ROSCADA DE 3/16"" X 1 MTS.",VAROS5.webp,"3/16"" 1 MTS 3/16",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VAROS19,"VARILLA ROSCADA DE 3/4"" X 1 MTS.",VAROS19.webp,"3/4"" 1 MTS 3/4",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VAROS10,"VARILLA ROSCADA DE 3/8"" X 1 MTS.",VAROS10.webp,"3/8"" 1 MTS 3/8",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VAROS8X1,"VARILLA ROSCADA DE 5/16"" X 1 MTS.",VAROS8X1.webp,"5/16"" 1 MTS 5/16",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VAROS16,"VARILLA ROSCADA DE 5/8"" X 1 MTS.",VAROS16.webp,"5/8"" 1 MTS 5/8",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
CODS25,"CODO SOLDABLE 1""",CODS25.webp,"1""",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
CODS50,"CODO SOLDABLE 2""",CODS50.webp,"2""",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
CODS19,"CODO SOLDABLE 3/4""",CODS19.webp,"3/4"" 3/4",0.75,0.433,303,ok,Guardado con lado_destino=303px (factor=0.433)
CODS100,"CODO SOLDABLE 4""",CODS100.webp,"4""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
CODS38,"CODO SOLDABLE 1"" 1/2",CODS38.webp,"1"" 1/2",1.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
CODS32,"CODO SOLDABLE 1"" 1/4",CODS32.webp,"1"" 1/4",1.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
CODS64,"CODO SOLDABLE 2"" 1/2",CODS64.webp,"2"" 1/2",2.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
REMA42,REMACHE POP 42,REMA42.webp,,42.0,0.7859,550,ok,Guardado con lado_destino=550px (factor=0.7859)
REMA44,REMACHE POP 44,REMA44.webp,,44.0,0.8044,563,ok,Guardado con lado_destino=563px (factor=0.8044)
REMA46,REMACHE POP 46,REMA46.webp,,46.0,0.8225,575,ok,Guardado con lado_destino=575px (factor=0.8225)
REMA48,REMACHE POP 48,REMA48.webp,,48.0,0.8402,588,ok,Guardado con lado_destino=588px (factor=0.8402)
REMA52,REMACHE POP 52,REMA52.webp,,52.0,0.8745,612,ok,Guardado con lado_destino=612px (factor=0.8745)
REMA54,REMACHE POP 54,REMA54.webp,,54.0,0.8911,623,ok,Guardado con lado_destino=623px (factor=0.8911)
REMA56,REMACHE POP 56,REMA56.webp,,56.0,0.9075,635,ok,Guardado con lado_destino=635px (factor=0.9075)
REMA58,REMACHE POP 58,REMA58.webp,,58.0,0.9235,646,ok,Guardado con lado_destino=646px (factor=0.9235)
REMA64,REMACHE POP 64,REMA64.webp,,64.0,0.9701,679,ok,Guardado con lado_destino=679px (factor=0.9701)
REMA66,REMACHE POP 66,REMA66.webp,,66.0,0.9852,689,ok,Guardado con lado_destino=689px (factor=0.9852)
REMA68,REMACHE POP 68,REMA68.webp,,68.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
REMA610LF,REMACHE POP 610 LF,REMA610LF.webp,,610.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
REMA66LF,REMACHE POP 66 LF,REMA66LF.webp,,66.0,0.3289,230,ok,Guardado con lado_destino=230px (factor=0.3289)
REMA68LF,REMACHE POP 68 LF,REMA68LF.webp,,68.0,0.3339,233,ok,Guardado con lado_destino=233px (factor=0.3339)
SM6,"SUJETADOR MARIPOSA 1/4""",SM6.webp,"1/4"" 1/4",0.25,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
SM5,"SUJETADOR MARIPOSA 3/16""",SM5.webp,"3/16"" 3/16",0.1875,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
TAQANC1/4,TAQUETE ANCLA 1/4,TAQANC1-4.webp,1/4,0.25,0.8165,571,ok,Guardado con lado_destino=571px (factor=0.8165)
TAQA3/8,TAQUETE ANCLA 3/8,TAQA3-8.webp,3/8,0.375,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
TAQA5/16,TAQUETE ANCLA 5/16,TAQA5-16.webp,5/16,0.3125,0.9129,639,ok,Guardado con lado_destino=639px (factor=0.9129)
TAQPLAS6,"TAQUETE DE PLASTICO 1/4""",TAQPLAS6.webp,"1/4"" 1/4",0.25,0.8944,626,ok,Guardado con lado_destino=626px (factor=0.8944)
TAQPLAS8,"TAQUETE DE PLASTICO 5/16""",TAQPLAS8.webp,"5/16"" 5/16",0.3125,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
TAQEX1/2,"TAQUETE EXPANSIVO 1/2"" -Z",TAQEX1-2.webp,"1/2"" 1/2",0.5,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
TAQEXP1/4,"TAQUETE EXPANSIVO 1/4"" -Z",TAQEXP1-4.webp,"1/4"" 1/4",0.25,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
TAQEXP3/16,"TAQUETE EXPANSIVO 3/16"" -Z",TAQEXP3-16.webp,"3/16"" 3/16",0.1875,0.6124,428,ok,Guardado con lado_destino=428px (factor=0.6124)
TAQEXP3/8,"TAQUETE EXPANSIVO 3/8"" -Z",TAQEXP3-8.webp,"3/8"" 3/8",0.375,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
