tipo,codigo,medida_actual,medida_propuesta,arreglos,nombre
"DECIDIR","SOLD4083M","3/16"" 1"" 3MT 3/16 1/2","3/16"" 1"" 3MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1"" 1/2 3MT.(20408)"
"DECIDIR","SOLD4056M","3/16"" 1"" 6MT 3/16 1/2","3/16"" 1"" 6MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20405)"
"DECIDIR","SOLD4066M","3/16"" 1"" 6MT 3/16 1/2","3/16"" 1"" 6MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20406)"
"DECIDIR","SOLD4076M","3/16"" 1"" 6MT 3/16 1/2","3/16"" 1"" 6MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20407)"
"DECIDIR","SOLD4086M","3/16"" 1"" 6MT 3/16 1/2","3/16"" 1"" 6MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20408)"
"DECIDIR","SOLD4106M","3/16"" 1"" 6MT 3/16 1/2","3/16"" 1"" 6MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1""1/2 6MT.(20410)"
"DECIDIR","TILOUVERN","CAL. 18 3.05 MTS","CAL. 18 3.05 MTS","","TIRA LOUVER NEGRA C/COST.3.05 MTS. CAL. 18"
"DECIDIR","TUCO38","1"" 1 MT 1/2","1"" 1 MT 1/2","","TUBO COMBINADO 1"" 1/2 1 MT."
"DECIDIR","TUCO32","1"" 1 MT 1/4","1"" 1 MT 1/4","","TUBO COMBINADO 1"" 1/4 1 MT."
"DECIDIR","TUCO25","1"" 1MT","1"" 1MT","","TUBO COMBINADO 1"" 1MT"
"DECIDIR","TUCO19","3/4"" 1 MTS 3/4","3/4"" 1 MTS 3/4","","TUBO COMBINADO 3/4"" DE 1 MTS."
"DECIDIR","TUELI38","1"" 1 MT 1/2","1"" 1 MT 1/2","","TUBO ELITE 1"" 1/2 C-16 1 MT 11555"
"DECIDIR","TUELI38C16-11560","1"" 1 MT 1/2","1"" 1 MT 1/2","","TUBO ELITE 1"" 1/2 C-16 1 MT.(11560)"
"DECIDIR","TUIN16C18MI1","5/8"" 1MT 5/8","5/8"" 1MT 5/8","","TUBO INGLES  5/8"" 1MT C-18 (10610-INGLES 1)"
"DECIDIR","TUIN16C18MI2","5/8"" 1MT 5/8","5/8"" 1MT 5/8","","TUBO INGLES  5/8"" 1MT C-18 (10611-INGLES 2)"
"DECIDIR","AT2610254M","4MTS 10/25","4MTS 10/25","","ANTORCHA P/SOLD. TIG SR26V 4MTS. 10/25 ELITE"
"DECIDIR","BAF150","1"" 50 MTS","1"" 50 MTS","","BARRETA HEX. 1"" X 1,50 MTS SURTEK (BAF150)"
"DECIDIR","151227","1/8"" 2X1X2 1/8","1/8"" 2X1X2 1/8","","BOLA PARA REMOLQUE 2X1X2-1/8""  SURTEK (151227)"
"DECIDIR","BSDS1/2X12","1/2"" 12"" 2X12 1/2","1/2"" 12"" 2X12 1/2","","BROCA P/CONCRETO SDS URREA 1/2"" X 12"" (BSDS1/2X12)"
"DECIDIR","BSDS1/2X6","1/2"" 6"" 2X6 1/2","1/2"" 6"" 2X6 1/2","","BROCA P/CONCRETO SDS URREA 1/2"" X 6"" (BSDS1/2X6)"
"DECIDIR","BSDS3/8X12","3/8"" 12"" 8X12 3/8","3/8"" 12"" 8X12 3/8","","BROCA P/CONCRETO SDS URREA 3/8"" X 12"" (BSDS3/8X12)"
"DECIDIR","BSDS3/8X6","3/8"" 6"" 8X6 3/8","3/8"" 6"" 8X6 3/8","","BROCA P/CONCRETO SDS URREA 3/8"" X 6"" (BSDS3/8X6)"
