"fila","proveedor","codigo","descripcion","existencia"
"93","ABRASIVOS ESPECIALES, S.A DE C.V","D3255","DISCO 3255 USO GENERAL DENTADO 7""","0"
"94","ABRASIVOS ESPECIALES, S.A DE C.V","D3300","DISCO 3300 PARA CORTE 2 EN 1 DE  4 1/2""","0"
"95","ABRASIVOS ESPECIALES, S.A DE C.V","D3301","DISCO 3301 PARA CORTE 4 1/2""","0"
"96","ABRASIVOS ESPECIALES, S.A DE C.V","D3302","DISCO 3302 PARA CORTE INOX. 4 1/2""","0"
"97","ABRASIVOS ESPECIALES, S.A DE C.V","D3504","DISCO 3504 PARA CORTE DE 7""","0"
"98","ABRASIVOS ESPECIALES, S.A DE C.V","D4250","DISCO 4250 TYROLIT 4"" 1/2 P/ INOX .","0"
"99","ABRASIVOS ESPECIALES, S.A DE C.V","D4251","DISCO 4251  TYROLIT 4"" 1/2 P/ METAL","0"
"100","ABRASIVOS ESPECIALES, S.A DE C.V","D4261","DISCO 4261 P/CORTE 5"" 2 EN 1 TYROLIT","0"
"101","ABRASIVOS ESPECIALES, S.A DE C.V","D525","DISCO 525 P/DESB. MET. 4 1/2","0"
"102","ABRASIVOS ESPECIALES, S.A DE C.V","D554","DISCO 554 P/CORTE 7""","0"
"103","ABRASIVOS ESPECIALES, S.A DE C.V","D560","DISCO 560 P/DESBASTE  DE 4"" 1/2","200"
"104","ABRASIVOS ESPECIALES, S.A DE C.V","D561","DISCO 561 P/DESBASTE  7""","0"
"106","ABRASIVOS ESPECIALES, S.A DE C.V","D566","DISCO 566 P/CORTE DE 4"" 1/2","0"
"107","ABRASIVOS ESPECIALES, S.A DE C.V","D567","DISCO 567 P/CORTE  7""","0"
"108","ABRASIVOS ESPECIALES, S.A DE C.V","D710","DISCO 710 P/CORTE  4"" 1/2","0"
"109","ABRASIVOS ESPECIALES, S.A DE C.V","D711","DISCO 711 DE CORTE 4 1/2""","0"
"110","ABRASIVOS ESPECIALES, S.A DE C.V","D732","DISCO 732 P/CORTE 8""","0"
"111","ABRASIVOS ESPECIALES, S.A DE C.V","D733","DISCO 733 P/CORTE 14""","250"
"112","ABRASIVOS ESPECIALES, S.A DE C.V","D737","DISCO 737 P/CORTE 14""","0"
"113","ABRASIVOS ESPECIALES, S.A DE C.V","D739","DISCO 739 P/CORTE 14""","0"
"114","ABRASIVOS ESPECIALES, S.A DE C.V","D742","DISCO 742 P/CORTE  14""","0"
"115","ABRASIVOS ESPECIALES, S.A DE C.V","D743","DISCO 743 P/CORTE 14""","0"
"116","ABRASIVOS ESPECIALES, S.A DE C.V","D744","DISCO 744 P/CORTE 14""","400"
"117","ABRASIVOS ESPECIALES, S.A DE C.V","D746","DISCO 746 P/CORTE DE INOX.14 ""","0"
"118","ABRASIVOS ESPECIALES, S.A DE C.V","D750","DISCO 750 P/CORTE INOX 4 1/2""","0"
"119","ABRASIVOS ESPECIALES, S.A DE C.V","D751","DISCO 751 P/CORTE INOX. 4 1/2""","0"
"120","ABRASIVOS ESPECIALES, S.A DE C.V","D752","DISCO 752 P/CORTE INOX DE 4""1/2","0"
"121","ABRASIVOS ESPECIALES, S.A DE C.V","D753","DISCO 753 P/CORTE INOX. AUSTROMEX  14""","0"
"122","ABRASIVOS ESPECIALES, S.A DE C.V","D758","DISCO 758 P/CORTE 14""","0"
"123","ABRASIVOS ESPECIALES, S.A DE C.V","D766","DISCO 766 P/CORTE 14""","125"
"124","ABRASIVOS ESPECIALES, S.A DE C.V","D768","DISCO 768 14""","0"
"125","ABRASIVOS ESPECIALES, S.A DE C.V","D775","DISCO 775  P/CORTE 4 1/2""","5600"
"126","ABRASIVOS ESPECIALES, S.A DE C.V","D778","DISCO 778  P/CORTE 4 1/2""","0"
"127","ABRASIVOS ESPECIALES, S.A DE C.V","D780","DISCO 780 P/CORTE METAL E INOX.  7""","50"
"128","ABRASIVOS ESPECIALES, S.A DE C.V","D781","DISCO 781 P/CORTE 4 1/2""","850"
"129","ABRASIVOS ESPECIALES, S.A DE C.V","D8","DISCO 8 RUEDA ABRASIVA 6""X 3/4"" X 1""","0"
"130","ABRASIVOS ESPECIALES, S.A DE C.V","D875","DISCO 875 ACERO INOX. P/CORTE MET. 7""","0"
"131","ABRASIVOS ESPECIALES, S.A DE C.V","D877","DISCO 877 P/CORTE 7"" INOX.","0"
"132","ABRASIVOS ESPECIALES, S.A DE C.V","D879","DISCO 879 P/CORTE 7""","0"
"133","ABRASIVOS ESPECIALES, S.A DE C.V","D881","DISCO 881 PREMIUM  PARA CORTE DE 7""","0"
"134","ABRASIVOS ESPECIALES, S.A DE C.V","D882","DISCO 882 P/CORTE DE METAL 9""","125"
"135","ABRASIVOS ESPECIALES, S.A DE C.V","D889","DISCO 889 P/CORTE 7""","0"
"136","ABRASIVOS ESPECIALES, S.A DE C.V","D892","DISCO 892 P/CORTE 4 1/2"" ALUMINIO","0"
"137","ABRASIVOS ESPECIALES, S.A DE C.V","D999","DISCO 999 P/DESBASTE 7""","0"
"138","ABRASIVOS ESPECIALES, S.A DE C.V","D171","DISCO SIERRA METALICA  171 DE 7 "" 1/4 (SMI38)","0"
"139","ABRASIVOS ESPECIALES, S.A DE C.V","1686","HOJA LIJA 1686 P/PASTA GRANO 36","0"
"140","ABRASIVOS ESPECIALES, S.A DE C.V","1687","HOJA LIJA 1687 P/PASTA GRANO 50","0"
"141","ABRASIVOS ESPECIALES, S.A DE C.V","1688","HOJA LIJA 1688 P/PASTA G80","0"
"142","ABRASIVOS ESPECIALES, S.A DE C.V","2740","HOJA LIJA 2740  GRANO 80","0"
"143","ABRASIVOS ESPECIALES, S.A DE C.V","2741","HOJA LIJA 2741  GRANO 100","0"
"144","ABRASIVOS ESPECIALES, S.A DE C.V","2742","HOJA LIJA 2742  GRANO 120","0"
"145","ABRASIVOS ESPECIALES, S.A DE C.V","2743","HOJA LIJA 2743 GRANO 150","50"
"146","ABRASIVOS ESPECIALES, S.A DE C.V","2744","HOJA LIJA 2744 GRANO 180","0"
"147","ABRASIVOS ESPECIALES, S.A DE C.V","2745","HOJA LIJA 2745  GRANO 220","0"
