"proveedor","codigo","descripcion"
"GALVATUBING,S.A DE C.V","LGZR3.66E","GALVATUBING LAM.GALV. Z ALUM REC 3.66"
"GALVATUBING,S.A DE C.V","LGZR4.27E","GALVATUBING LAM.GALV. Z ALUM REC 4.27"
"GALVATUBING,S.A DE C.V","LGZR4.88E","GALVATUBING LAM.GALV. Z ALUM REC 4.88"
"GALVATUBING,S.A DE C.V","ZR200E","GALVATUBING RECTANGULAR 2"" X 1"" C-20"
"GALVATUBING,S.A DE C.V","ZR300E","GALVATUBING RECTANGULAR 3 X 1 1/2 C-20"
"GALVATUBING,S.A DE C.V","ZR400E","GALVATUBING RECTANGULAR 4 X 1 1/2 C-20"
"GRUPO INDUSTRIAL GARCIASTEEL,S.A DE C.V","PZALE","PZA. LATERAL EUROPEA"
"INFRA, S.A DE C.V","BOQP/CORT-4157","BOQ. P/CORT. OXIG. BUT. SC-50 A-1(5/8)C-4157"
"INFRA, S.A DE C.V","4184","BOQ.CORTE OXIBUTANO(4184)"
"INFRA, S.A DE C.V","EQUIPO","EQUIPO INFRA SMITHS EQP51-2CB-SM(4052)"
"INFRA, S.A DE C.V","GOGLEVM","GOGLE VENTANA MOVIL(8528)"
"INFRA, S.A DE C.V","MAN50-4812","MANOMETRO 2"" RANGO 28KG/CM2"
"INFRA, S.A DE C.V","MAN50-4807","MANOMETRO DE 2"" RANGO 2KG/CM2 (COD-4807)"
"INFRA, S.A DE C.V","MPCLARO","MICA DE POLICAR. CLARO P/SC400(8123)"
"INFRA, S.A DE C.V","MPS12","MICA DE POLICAR. S-12 (8225)"
"INFRA, S.A DE C.V","MICA2.5D","MICA TRANSP. 2.5 AUM. DIOPT. (8530)"
"INFRA, S.A DE C.V","MICA1.5D","MICA TRANSP. AUM. 1.5 DIOPT. (8529)"
"INFRA, S.A DE C.V","PROFAC","PROTECTOR FACIAL 3PF-300(CODIGO-8259)"
"INFRA, S.A DE C.V","PROOI","PROTECTOR P/OIDOS(8267)"
"INFRA, S.A DE C.V","REGSH1710C","REGULADOR INFRA SMITHS SH 1710-C"
